Gender,Height,Gender_Label
2.0,1.88,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.85,Female
2.0,1.78,Female
2.0,1.78,Female
2.0,1.68,Female
2.0,1.78,Female
2.0,1.65,Female
2.0,1.7,Female
1.0,1.6,Male
2.0,1.73,Female
2.0,1.8,Female
2.0,1.75,Female
2.0,1.73,Female
2.0,1.75,Female
2.0,1.83,Female
2.0,1.6,Female
2.0,1.73,Female
2.0,1.65,Female
1.0,1.63,Male
1.0,1.52,Male
1.0,1.73,Male
1.0,1.55,Male
1.0,1.68,Male
2.0,1.68,Female
2.0,1.83,Female
2.0,1.7,Female
2.0,1.75,Female
2.0,1.75,Female
2.0,1.83,Female
2.0,1.83,Female
1.0,1.55,Male
1.0,1.63,Male
1.0,1.65,Male
1.0,1.63,Male
1.0,1.63,Male
1.0,1.65,Male
1.0,1.52,Male
1.0,1.7,Male
1.0,1.7,Male
1.0,1.73,Male
1.0,1.57,Male
1.0,1.52,Male
1.0,1.6,Male
1.0,1.55,Male
1.0,1.55,Male
1.0,1.55,Male
1.0,1.6,Male
1.0,1.68,Male
1.0,1.6,Male
1.0,1.68,Male
2.0,1.75,Female
2.0,1.68,Female
2.0,1.73,Female
2.0,1.75,Female
1.0,1.6,Male
1.0,1.52,Male
1.0,1.55,Male
1.0,1.55,Male
1.0,1.68,Male
1.0,1.57,Male
2.0,1.45,Female
2.0,1.7,Female
2.0,1.75,Female
2.0,1.7,Female
2.0,1.8,Female
2.0,1.8,Female
2.0,1.73,Female
2.0,1.7,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.85,Female
2.0,1.83,Female
2.0,1.73,Female
2.0,1.78,Female
2.0,1.83,Female
2.0,1.85,Female
2.0,1.88,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.75,Female
2.0,1.68,Female
2.0,1.78,Female
1.0,1.52,Male
1.0,1.68,Male
1.0,1.68,Male
1.0,1.5,Male
1.0,1.63,Male
1.0,1.68,Male
1.0,1.55,Male
1.0,1.65,Male
1.0,1.55,Male
1.0,1.6,Male
1.0,1.68,Male
1.0,1.73,Male
1.0,1.65,Male
1.0,1.6,Male
1.0,1.57,Male
1.0,1.73,Male
2.0,1.83,Female
2.0,1.8,Female
2.0,1.73,Female
2.0,1.9,Female
2.0,1.83,Female
2.0,1.8,Female
2.0,1.9,Female
2.0,1.78,Female
2.0,1.85,Female
2.0,1.8,Female
1.0,1.55,Male
1.0,1.6,Male
1.0,1.7,Male
2.0,1.7,Female
1.0,1.7,Male
1.0,1.63,Male
1.0,1.63,Male
1.0,1.68,Male
1.0,1.63,Male
1.0,1.57,Male
1.0,1.68,Male
1.0,1.65,Male
1.0,1.7,Male
2.0,1.85,Female
2.0,1.78,Female
2.0,1.78,Female
2.0,1.83,Female
2.0,1.83,Female
2.0,1.65,Female
2.0,1.78,Female
2.0,1.78,Female
2.0,1.65,Female
2.0,1.75,Female
2.0,1.88,Female
2.0,1.9,Female
2.0,1.7,Female
2.0,1.8,Female
2.0,1.9,Female
2.0,1.78,Female
2.0,1.83,Female
1.0,1.52,Male
1.0,1.6,Male
1.0,1.65,Male
1.0,1.68,Male
1.0,1.68,Male
2.0,1.83,Female
2.0,1.88,Female
2.0,1.7,Female
2.0,1.85,Female
2.0,1.73,Female
2.0,1.73,Female
2.0,1.83,Female
2.0,1.88,Female
2.0,1.73,Female
2.0,1.52,Female
2.0,1.7,Female
2.0,1.8,Female
2.0,1.7,Female
2.0,1.9,Female
2.0,1.78,Female
1.0,1.73,Male
1.0,1.57,Male
1.0,1.68,Male
1.0,1.65,Male
1.0,1.7,Male
1.0,1.85,Male
1.0,1.6,Male
1.0,1.7,Male
2.0,1.65,Female
2.0,1.78,Female
2.0,1.75,Female
2.0,1.68,Female
2.0,1.65,Female
2.0,1.83,Female
2.0,1.6,Female
2.0,1.88,Female
2.0,1.85,Female
2.0,1.75,Female
2.0,1.55,Female
2.0,1.63,Female
2.0,1.78,Female
2.0,1.73,Female
2.0,1.78,Female
2.0,1.6,Female
2.0,1.8,Female
2.0,1.8,Female
2.0,1.75,Female
2.0,1.88,Female
2.0,1.96,Female
2.0,1.85,Female
2.0,1.7,Female
2.0,1.93,Female
2.0,1.73,Female
2.0,1.73,Female
2.0,1.8,Female
1.0,1.75,Male
1.0,1.73,Male
1.0,1.78,Male
1.0,1.57,Male
1.0,1.68,Male
1.0,1.63,Male
1.0,1.68,Male
1.0,1.7,Male
1.0,1.57,Male
1.0,1.68,Male
1.0,1.57,Male
1.0,1.73,Male
1.0,1.63,Male
1.0,1.78,Male
1.0,1.57,Male
2.0,1.78,Female
2.0,1.85,Female
2.0,1.85,Female
2.0,1.65,Female
2.0,1.88,Female
2.0,1.7,Female
2.0,1.73,Female
2.0,1.88,Female
2.0,1.83,Female
1.0,1.8,Male
2.0,1.8,Female
2.0,1.75,Female
2.0,1.78,Female
2.0,1.7,Female
2.0,1.68,Female
2.0,1.73,Female
2.0,1.73,Female
2.0,1.78,Female
2.0,1.65,Female
2.0,1.83,Female
2.0,1.7,Female
1.0,1.65,Male
1.0,1.57,Male
2.0,1.96,Female
2.0,1.83,Female
2.0,1.7,Female
2.0,1.6,Female
1.0,1.55,Male
1.0,1.57,Male
1.0,1.68,Male
1.0,1.6,Male
1.0,1.55,Male
1.0,1.6,Male
1.0,1.63,Male
1.0,1.68,Male
1.0,1.73,Male
1.0,1.57,Male
1.0,1.6,Male
1.0,1.55,Male
1.0,1.68,Male
1.0,1.68,Male
2.0,1.83,Female
2.0,1.7,Female
2.0,1.68,Female
2.0,1.73,Female
2.0,1.85,Female
2.0,1.78,Female
2.0,1.8,Female
2.0,1.83,Female
1.0,1.63,Male
1.0,1.78,Male
1.0,1.55,Male
1.0,1.8,Male
1.0,1.6,Male
1.0,1.6,Male
1.0,1.55,Male
1.0,1.6,Male
1.0,1.6,Male
1.0,1.65,Male
1.0,1.68,Male
1.0,1.6,Male
2.0,1.78,Female
2.0,1.8,Female
2.0,1.68,Female
2.0,1.73,Female
2.0,1.85,Female
2.0,1.85,Female
2.0,1.75,Female
2.0,1.78,Female
2.0,1.75,Female
2.0,1.63,Female
1.0,1.63,Male
1.0,1.55,Male
1.0,1.63,Male
2.0,1.8,Female
2.0,1.93,Female
1.0,1.6,Male
1.0,1.65,Male
1.0,1.65,Male
1.0,1.6,Male
1.0,1.63,Male
1.0,1.55,Male
2.0,1.73,Female
2.0,1.83,Female
1.0,1.52,Male
1.0,1.63,Male
1.0,1.7,Male
1.0,1.73,Male
1.0,1.55,Male
1.0,1.7,Male
2.0,1.65,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.75,Female
2.0,1.83,Female
2.0,1.83,Female
1.0,1.63,Male
1.0,1.52,Male
2.0,1.78,Female
2.0,1.85,Female
2.0,1.75,Female
2.0,1.75,Female
2.0,1.73,Female
2.0,1.63,Female
2.0,1.8,Female
2.0,1.68,Female
2.0,1.52,Female
2.0,1.68,Female
1.0,1.52,Male
2.0,1.75,Female
2.0,1.7,Female
2.0,1.75,Female
2.0,1.78,Female
2.0,1.85,Female
1.0,1.65,Male
1.0,1.55,Male
1.0,1.68,Male
1.0,1.7,Male
1.0,1.6,Male
1.0,1.57,Male
1.0,1.73,Male
1.0,1.7,Male
1.0,1.57,Male
1.0,1.65,Male
1.0,1.7,Male
1.0,1.7,Male
2.0,1.78,Female
2.0,1.88,Female
1.0,1.75,Male
1.0,1.7,Male
1.0,1.63,Male
1.0,1.63,Male
1.0,1.57,Male
2.0,1.78,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.78,Female
2.0,1.7,Female
2.0,1.8,Female
1.0,1.57,Male
1.0,1.6,Male
1.0,1.65,Male
1.0,1.68,Male
1.0,1.7,Male
1.0,1.68,Male
1.0,1.63,Male
2.0,1.8,Female
2.0,1.78,Female
2.0,1.85,Female
2.0,1.88,Female
2.0,1.78,Female
2.0,1.8,Female
2.0,1.83,Female
2.0,1.78,Female
2.0,1.83,Female
2.0,1.8,Female
2.0,1.9,Female
1.0,1.68,Male
1.0,1.68,Male
1.0,1.63,Male
1.0,1.6,Male
1.0,1.55,Male
2.0,1.78,Female
2.0,1.85,Female
2.0,1.96,Female
2.0,1.73,Female
2.0,1.8,Female
1.0,1.6,Male
1.0,1.65,Male
1.0,1.65,Male
1.0,1.6,Male
1.0,1.65,Male
1.0,1.68,Male
1.0,1.68,Male
1.0,1.7,Male
2.0,1.83,Female
2.0,1.73,Female
2.0,1.73,Female
2.0,1.73,Female
2.0,1.78,Female
1.0,1.7,Male
2.0,1.75,Female
2.0,1.83,Female
2.0,1.88,Female
2.0,1.75,Female
2.0,1.8,Female
2.0,1.78,Female
1.0,1.55,Male
1.0,1.57,Male
1.0,1.73,Male
1.0,1.65,Male
2.0,1.78,Female
2.0,1.93,Female
2.0,1.83,Female
2.0,1.78,Female
1.0,1.63,Male
1.0,1.6,Male
1.0,1.57,Male
1.0,1.7,Male
1.0,1.78,Male
1.0,1.7,Male
1.0,1.65,Male
2.0,1.63,Female
1.0,1.65,Male
1.0,1.68,Male
1.0,1.55,Male
1.0,1.75,Male
1.0,1.6,Male
1.0,1.6,Male
1.0,1.65,Male
2.0,1.78,Female
2.0,1.85,Female
2.0,1.9,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.9,Female
1.0,1.57,Male
1.0,1.68,Male
2.0,1.73,Female
2.0,1.73,Female
2.0,1.85,Female
2.0,1.73,Female
2.0,1.85,Female
2.0,1.75,Female
2.0,1.78,Female
2.0,1.63,Female
2.0,1.6,Female
2.0,1.83,Female
1.0,1.7,Male
1.0,1.52,Male
1.0,1.52,Male
1.0,1.7,Male
1.0,1.65,Male
1.0,1.6,Male
1.0,1.65,Male
1.0,1.6,Male
1.0,1.63,Male
1.0,1.7,Male
1.0,1.73,Male
1.0,1.57,Male
1.0,1.65,Male
1.0,1.63,Male
1.0,1.37,Male
1.0,1.55,Male
1.0,1.5,Male
1.0,1.6,Male
1.0,1.68,Male
1.0,1.57,Male
1.0,1.68,Male
1.0,1.4,Male
1.0,1.63,Male
1.0,1.63,Male
1.0,1.73,Male
1.0,1.47,Male
1.0,1.73,Male
1.0,1.55,Male
1.0,1.78,Male
2.0,2.06,Female
2.0,1.68,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.8,Female
2.0,1.83,Female
2.0,1.63,Female
1.0,1.6,Male
2.0,1.8,Female
2.0,1.78,Female
2.0,1.9,Female
2.0,1.83,Female
2.0,1.85,Female
2.0,1.88,Female
2.0,1.98,Female
2.0,1.7,Female
2.0,1.83,Female
2.0,1.83,Female
2.0,1.73,Female
2.0,1.83,Female
1.0,1.63,Male
1.0,1.73,Male
1.0,1.52,Male
1.0,1.6,Male
1.0,1.6,Male
1.0,1.7,Male
1.0,1.63,Male
1.0,1.68,Male
2.0,1.35,Female
2.0,1.68,Female
2.0,1.93,Female
2.0,1.8,Female
2.0,1.85,Female
2.0,1.85,Female
2.0,1.85,Female
2.0,1.93,Female
2.0,1.78,Female
1.0,1.68,Male
1.0,1.7,Male
1.0,1.6,Male
1.0,1.6,Male
2.0,1.7,Female
2.0,1.78,Female
2.0,1.68,Female
1.0,1.65,Male
1.0,1.65,Male
1.0,1.63,Male
1.0,1.6,Male
1.0,1.9,Male
1.0,1.68,Male
1.0,1.73,Male
1.0,1.6,Male
1.0,1.6,Male
1.0,1.65,Male
1.0,1.73,Male
1.0,1.57,Male
1.0,1.65,Male
2.0,1.8,Female
2.0,1.75,Female
2.0,1.9,Female
2.0,1.85,Female
1.0,1.65,Male
2.0,1.75,Female
2.0,1.63,Female
2.0,1.83,Female
2.0,1.63,Female
2.0,1.68,Female
2.0,1.73,Female
2.0,1.85,Female
2.0,1.83,Female
1.0,1.57,Male
1.0,1.35,Male
1.0,1.63,Male
1.0,1.63,Male
1.0,1.6,Male
1.0,1.6,Male
1.0,1.57,Male
2.0,1.78,Female
2.0,1.73,Female
2.0,1.85,Female
1.0,1.73,Male
1.0,1.6,Male
1.0,1.63,Male
1.0,1.68,Male
1.0,1.6,Male
1.0,1.63,Male
1.0,1.75,Male
1.0,1.7,Male
1.0,1.63,Male
1.0,1.57,Male
1.0,1.7,Male
1.0,1.63,Male
1.0,1.6,Male
1.0,1.52,Male
1.0,1.63,Male
1.0,1.65,Male
1.0,1.55,Male
2.0,1.83,Female
2.0,1.8,Female
2.0,1.78,Female
2.0,1.96,Female
2.0,1.78,Female
2.0,1.65,Female
2.0,1.75,Female
2.0,1.8,Female
2.0,1.78,Female
2.0,1.78,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.65,Female
1.0,1.68,Male
1.0,1.6,Male
1.0,1.73,Male
1.0,1.73,Male
1.0,1.68,Male
1.0,1.68,Male
1.0,1.65,Male
1.0,1.52,Male
1.0,1.65,Male
1.0,1.57,Male
1.0,1.52,Male
1.0,1.5,Male
1.0,1.63,Male
1.0,1.78,Male
1.0,1.75,Male
1.0,1.6,Male
1.0,1.63,Male
1.0,1.63,Male
1.0,1.78,Male
1.0,1.68,Male
2.0,1.78,Female
2.0,1.55,Female
2.0,1.78,Female
2.0,1.78,Female
2.0,1.96,Female
2.0,1.68,Female
2.0,1.68,Female
2.0,1.78,Female
2.0,1.85,Female
2.0,1.83,Female
2.0,1.88,Female
2.0,1.75,Female
2.0,1.73,Female
2.0,1.68,Female
2.0,1.73,Female
2.0,1.78,Female
1.0,1.7,Male
1.0,1.63,Male
1.0,1.68,Male
1.0,1.63,Male
1.0,1.7,Male
1.0,1.5,Male
1.0,1.73,Male
1.0,1.73,Male
1.0,1.65,Male
1.0,1.63,Male
1.0,1.7,Male
1.0,1.68,Male
1.0,1.6,Male
2.0,1.7,Female
2.0,1.6,Female
2.0,1.73,Female
2.0,1.7,Female
2.0,1.65,Female
2.0,1.75,Female
2.0,1.68,Female
2.0,1.65,Female
2.0,1.68,Female
2.0,1.65,Female
1.0,1.65,Male
1.0,1.68,Male
1.0,1.63,Male
1.0,1.75,Male
1.0,1.6,Male
1.0,1.65,Male
1.0,1.55,Male
1.0,1.65,Male
1.0,1.63,Male
1.0,1.6,Male
1.0,1.52,Male
1.0,1.63,Male
1.0,1.7,Male
1.0,1.68,Male
1.0,1.57,Male
1.0,1.57,Male
1.0,1.63,Male
1.0,1.6,Male
2.0,1.73,Female
1.0,1.45,Male
1.0,1.68,Male
1.0,1.6,Male
1.0,1.68,Male
1.0,1.63,Male
1.0,1.63,Male
1.0,1.57,Male
1.0,1.73,Male
1.0,1.63,Male
1.0,1.63,Male
1.0,1.68,Male
1.0,1.5,Male
1.0,1.68,Male
1.0,1.7,Male
1.0,1.68,Male
1.0,1.73,Male
2.0,1.8,Female
2.0,1.83,Female
2.0,1.8,Female
2.0,1.65,Female
2.0,1.85,Female
2.0,1.8,Female
2.0,1.65,Female
2.0,1.88,Female
1.0,1.55,Male
1.0,1.7,Male
1.0,1.68,Male
1.0,1.63,Male
1.0,1.5,Male
1.0,1.6,Male
1.0,1.68,Male
1.0,1.57,Male
1.0,1.68,Male
1.0,1.52,Male
1.0,1.57,Male
1.0,1.47,Male
1.0,1.78,Male
1.0,1.6,Male
2.0,1.88,Female
2.0,1.7,Female
2.0,1.68,Female
2.0,1.83,Female
2.0,1.85,Female
2.0,1.78,Female
2.0,1.7,Female
2.0,1.75,Female
2.0,1.8,Female
2.0,1.7,Female
2.0,1.8,Female
1.0,1.7,Male
1.0,1.52,Male
1.0,1.65,Male
1.0,1.6,Male
1.0,1.7,Male
1.0,1.57,Male
1.0,1.6,Male
1.0,1.55,Male
1.0,1.6,Male
1.0,1.6,Male
1.0,1.65,Male
1.0,1.57,Male
2.0,1.8,Female
2.0,1.78,Female
2.0,1.83,Female
2.0,1.73,Female
2.0,1.83,Female
2.0,1.88,Female
2.0,1.8,Female
2.0,1.78,Female
2.0,1.83,Female
2.0,1.83,Female
2.0,1.7,Female
2.0,1.93,Female
2.0,1.83,Female
2.0,2.08,Female
2.0,1.83,Female
2.0,1.8,Female
2.0,1.75,Female
2.0,1.85,Female
2.0,1.75,Female
2.0,1.55,Female
2.0,1.8,Female
2.0,1.75,Female
2.0,1.65,Female
1.0,1.6,Male
1.0,1.57,Male
1.0,1.68,Male
1.0,1.75,Male
1.0,1.55,Male
1.0,1.63,Male
1.0,1.65,Male
1.0,1.57,Male
1.0,1.68,Male
1.0,1.55,Male
1.0,1.55,Male
2.0,1.63,Female
2.0,1.65,Female
2.0,1.7,Female
1.0,1.68,Male
1.0,1.6,Male
1.0,1.65,Male
1.0,1.65,Male
1.0,1.6,Male
1.0,1.63,Male
1.0,1.68,Male
1.0,1.6,Male
1.0,1.73,Male
1.0,1.4,Male
1.0,1.65,Male
1.0,1.68,Male
1.0,1.7,Male
1.0,1.68,Male
1.0,1.68,Male
1.0,1.63,Male
2.0,1.7,Female
2.0,1.83,Female
2.0,1.73,Female
2.0,1.78,Female
2.0,1.96,Female
2.0,1.78,Female
2.0,1.83,Female
2.0,1.65,Female
2.0,1.7,Female
2.0,1.7,Female
2.0,1.75,Female
1.0,1.65,Male
1.0,1.85,Male
1.0,1.73,Male
1.0,1.55,Male
1.0,1.55,Male
1.0,1.63,Male
1.0,1.5,Male
1.0,1.6,Male
1.0,1.68,Male
1.0,1.65,Male
1.0,1.57,Male
1.0,1.63,Male
2.0,1.85,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.8,Female
2.0,1.68,Female
2.0,1.85,Female
1.0,1.65,Male
1.0,1.7,Male
1.0,1.57,Male
1.0,1.7,Male
1.0,1.57,Male
1.0,1.7,Male
1.0,1.68,Male
1.0,1.63,Male
1.0,1.65,Male
1.0,1.65,Male
1.0,1.73,Male
1.0,1.65,Male
1.0,1.68,Male
1.0,1.6,Male
1.0,1.73,Male
1.0,1.6,Male
1.0,1.57,Male
1.0,1.73,Male
2.0,1.83,Female
2.0,1.68,Female
2.0,1.75,Female
2.0,1.73,Female
1.0,1.7,Male
1.0,1.57,Male
1.0,1.65,Male
1.0,1.7,Male
2.0,1.88,Female
2.0,1.75,Female
2.0,1.75,Female
2.0,1.7,Female
2.0,1.83,Female
2.0,1.78,Female
2.0,1.7,Female
2.0,1.7,Female
2.0,1.68,Female
2.0,1.68,Female
2.0,1.8,Female
2.0,1.78,Female
1.0,1.65,Male
1.0,1.5,Male
1.0,1.65,Male
1.0,1.7,Male
1.0,1.68,Male
1.0,1.5,Male
1.0,1.65,Male
1.0,1.63,Male
2.0,1.73,Female
2.0,1.73,Female
2.0,1.8,Female
2.0,1.85,Female
2.0,1.75,Female
2.0,1.8,Female
2.0,1.83,Female
2.0,1.73,Female
2.0,1.7,Female
2.0,1.68,Female
2.0,1.73,Female
2.0,1.78,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.83,Female
1.0,1.7,Male
1.0,1.7,Male
1.0,1.52,Male
2.0,1.83,Female
1.0,1.65,Male
1.0,1.7,Male
1.0,1.75,Male
1.0,1.78,Male
1.0,1.63,Male
1.0,1.65,Male
1.0,1.57,Male
1.0,1.68,Male
1.0,1.75,Male
1.0,1.7,Male
2.0,1.73,Female
2.0,1.65,Female
2.0,1.93,Female
2.0,1.75,Female
2.0,1.68,Female
2.0,1.75,Female
2.0,1.65,Female
2.0,1.78,Female
2.0,1.73,Female
1.0,1.68,Male
1.0,1.7,Male
1.0,1.55,Male
1.0,1.63,Male
1.0,1.7,Male
1.0,1.47,Male
1.0,1.6,Male
1.0,1.57,Male
1.0,1.63,Male
2.0,1.8,Female
2.0,1.6,Female
2.0,1.7,Female
2.0,1.8,Female
2.0,1.68,Female
2.0,1.8,Female
2.0,1.68,Female
2.0,1.88,Female
1.0,1.63,Male
1.0,1.63,Male
1.0,1.68,Male
1.0,1.63,Male
1.0,1.65,Male
1.0,1.4,Male
1.0,1.65,Male
1.0,1.63,Male
1.0,1.65,Male
2.0,1.88,Female
1.0,1.73,Male
1.0,1.68,Male
2.0,1.63,Female
2.0,1.83,Female
1.0,1.57,Male
2.0,1.65,Female
1.0,1.65,Male
1.0,1.6,Male
1.0,1.68,Male
1.0,1.73,Male
2.0,1.8,Female
2.0,1.52,Female
2.0,1.88,Female
2.0,1.78,Female
2.0,1.88,Female
2.0,1.7,Female
1.0,1.57,Male
1.0,1.68,Male
1.0,1.55,Male
1.0,1.7,Male
1.0,1.57,Male
1.0,1.7,Male
2.0,1.73,Female
2.0,1.7,Female
2.0,1.68,Female
2.0,1.85,Female
2.0,1.63,Female
2.0,1.7,Female
2.0,1.9,Female
1.0,1.5,Male
1.0,1.47,Male
1.0,1.63,Male
1.0,1.6,Male
1.0,1.65,Male
1.0,1.52,Male
2.0,1.75,Female
2.0,1.55,Female
2.0,1.88,Female
2.0,1.8,Female
2.0,1.52,Female
2.0,1.68,Female
2.0,1.73,Female
2.0,1.75,Female
2.0,1.73,Female
2.0,1.73,Female
1.0,1.65,Male
1.0,1.57,Male
1.0,1.57,Male
1.0,1.55,Male
1.0,1.55,Male
1.0,1.57,Male
1.0,1.65,Male
2.0,1.75,Female
2.0,1.63,Female
2.0,1.78,Female
2.0,1.85,Female
2.0,1.73,Female
2.0,1.7,Female
2.0,1.78,Female
2.0,1.78,Female
2.0,1.68,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.78,Female
2.0,1.83,Female
2.0,1.85,Female
2.0,1.78,Female
2.0,1.85,Female
2.0,1.8,Female
2.0,1.7,Female
2.0,1.68,Female
2.0,2.06,Female
2.0,1.83,Female
2.0,1.8,Female
1.0,1.63,Male
1.0,1.75,Male
1.0,1.73,Male
1.0,1.6,Male
1.0,1.6,Male
1.0,1.65,Male
1.0,1.57,Male
1.0,1.55,Male
1.0,1.7,Male
1.0,1.52,Male
1.0,1.68,Male
1.0,1.55,Male
1.0,1.55,Male
1.0,1.68,Male
1.0,1.55,Male
1.0,1.78,Male
2.0,1.85,Female
2.0,1.85,Female
2.0,1.78,Female
2.0,1.88,Female
2.0,1.8,Female
2.0,1.85,Female
2.0,1.8,Female
2.0,1.93,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.8,Female
1.0,1.68,Male
1.0,1.65,Male
1.0,1.65,Male
1.0,1.8,Male
1.0,1.57,Male
1.0,1.68,Male
1.0,1.73,Male
1.0,1.68,Male
1.0,1.73,Male
1.0,1.68,Male
1.0,1.63,Male
2.0,1.88,Female
2.0,1.8,Female
2.0,1.85,Female
1.0,1.63,Male
1.0,1.73,Male
1.0,1.63,Male
1.0,1.7,Male
1.0,1.55,Male
1.0,1.57,Male
1.0,1.63,Male
1.0,1.7,Male
1.0,1.65,Male
1.0,1.55,Male
1.0,1.65,Male
1.0,1.6,Male
1.0,1.7,Male
1.0,1.68,Male
2.0,1.63,Female
2.0,1.65,Female
2.0,1.75,Female
2.0,1.7,Female
2.0,1.7,Female
2.0,1.75,Female
2.0,1.85,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.85,Female
2.0,1.83,Female
2.0,1.73,Female
2.0,1.85,Female
2.0,1.8,Female
2.0,1.68,Female
2.0,1.83,Female
2.0,1.65,Female
1.0,1.73,Male
1.0,1.68,Male
1.0,1.6,Male
1.0,1.55,Male
1.0,1.57,Male
1.0,1.57,Male
1.0,1.68,Male
1.0,1.68,Male
1.0,1.63,Male
1.0,1.68,Male
1.0,1.6,Male
1.0,1.57,Male
1.0,1.73,Male
1.0,1.83,Male
1.0,1.63,Male
2.0,1.68,Female
2.0,1.8,Female
2.0,1.75,Female
2.0,1.88,Female
2.0,1.7,Female
2.0,1.73,Female
2.0,1.8,Female
2.0,1.63,Female
2.0,1.7,Female
2.0,1.78,Female
2.0,1.65,Female
2.0,1.73,Female
1.0,1.65,Male
1.0,1.57,Male
1.0,1.55,Male
1.0,1.75,Male
1.0,1.63,Male
1.0,1.55,Male
2.0,1.73,Female
2.0,1.83,Female
2.0,1.75,Female
2.0,1.73,Female
2.0,1.68,Female
1.0,1.57,Male
1.0,1.47,Male
1.0,1.7,Male
1.0,1.6,Male
1.0,1.7,Male
2.0,1.78,Female
2.0,1.75,Female
2.0,1.98,Female
1.0,1.7,Male
1.0,1.6,Male
1.0,1.52,Male
1.0,1.55,Male
1.0,1.68,Male
1.0,1.6,Male
1.0,1.63,Male
1.0,1.57,Male
1.0,1.57,Male
1.0,1.65,Male
1.0,1.52,Male
1.0,1.57,Male
2.0,1.85,Female
2.0,1.68,Female
2.0,1.6,Female
2.0,1.85,Female
2.0,1.7,Female
2.0,1.83,Female
2.0,1.78,Female
2.0,1.83,Female
2.0,1.78,Female
2.0,1.75,Female
2.0,1.73,Female
2.0,1.68,Female
2.0,1.7,Female
2.0,1.78,Female
2.0,1.8,Female
1.0,1.57,Male
1.0,1.55,Male
1.0,1.55,Male
1.0,1.65,Male
1.0,1.65,Male
1.0,1.7,Male
1.0,1.6,Male
1.0,1.65,Male
1.0,1.65,Male
1.0,1.7,Male
1.0,1.57,Male
2.0,1.85,Female
2.0,1.7,Female
1.0,1.55,Male
2.0,1.7,Female
2.0,1.65,Female
2.0,1.75,Female
2.0,1.8,Female
2.0,1.83,Female
2.0,1.8,Female
2.0,1.9,Female
2.0,1.73,Female
2.0,1.7,Female
1.0,1.68,Male
2.0,1.57,Female
2.0,1.68,Female
2.0,1.68,Female
2.0,1.68,Female
1.0,1.55,Male
1.0,1.63,Male
1.0,1.63,Male
1.0,1.57,Male
1.0,1.63,Male
1.0,1.52,Male
1.0,1.57,Male
1.0,1.65,Male
1.0,1.55,Male
1.0,1.57,Male
1.0,1.78,Male
1.0,1.57,Male
1.0,1.65,Male
1.0,1.6,Male
1.0,1.78,Male
1.0,1.75,Male
1.0,1.63,Male
1.0,1.65,Male
1.0,1.6,Male
1.0,1.63,Male
2.0,1.65,Female
2.0,1.73,Female
2.0,1.73,Female
2.0,1.68,Female
2.0,1.63,Female
1.0,1.63,Male
1.0,1.63,Male
1.0,1.63,Male
1.0,1.88,Male
1.0,1.65,Male
1.0,1.68,Male
1.0,1.52,Male
1.0,1.6,Male
1.0,1.65,Male
2.0,1.78,Female
2.0,1.75,Female
2.0,1.8,Female
2.0,1.83,Female
2.0,1.63,Female
1.0,1.52,Male
1.0,1.65,Male
1.0,1.6,Male
2.0,1.78,Female
2.0,1.8,Female
2.0,1.8,Female
2.0,1.68,Female
2.0,1.68,Female
2.0,1.78,Female
2.0,1.68,Female
2.0,1.78,Female
2.0,1.85,Female
2.0,1.78,Female
2.0,1.78,Female
2.0,1.83,Female
2.0,1.7,Female
2.0,1.88,Female
2.0,1.78,Female
2.0,1.83,Female
2.0,1.68,Female
2.0,1.7,Female
2.0,1.65,Female
2.0,1.85,Female
1.0,1.55,Male
1.0,1.57,Male
1.0,1.65,Male
1.0,1.55,Male
1.0,1.57,Male
1.0,1.55,Male
1.0,1.52,Male
1.0,1.7,Male
1.0,1.6,Male
1.0,1.63,Male
1.0,1.75,Male
1.0,1.7,Male
1.0,1.57,Male
2.0,1.73,Female
2.0,1.7,Female
2.0,1.65,Female
2.0,1.68,Female
2.0,1.75,Female
2.0,1.63,Female
2.0,1.7,Female
2.0,1.75,Female
2.0,1.78,Female
2.0,1.78,Female
2.0,1.8,Female
1.0,1.57,Male
1.0,1.55,Male
1.0,1.63,Male
1.0,1.57,Male
1.0,1.68,Male
1.0,1.6,Male
1.0,1.57,Male
1.0,1.55,Male
2.0,1.65,Female
2.0,1.73,Female
1.0,1.55,Male
1.0,1.68,Male
1.0,1.68,Male
1.0,1.63,Male
2.0,1.8,Female
2.0,1.83,Female
2.0,1.78,Female
2.0,1.78,Female
2.0,1.9,Female
1.0,1.68,Male
1.0,1.73,Male
1.0,1.68,Male
1.0,1.55,Male
1.0,1.73,Male
1.0,1.5,Male
1.0,1.73,Male
1.0,1.6,Male
2.0,1.73,Female
2.0,1.7,Female
